id,name,name_to_match,type,lang,notes
001575385,ICGEB,icgeb,2,en,
001575385,International Centre for Genetic Engineering and Biotechnology,international centre for genetic engineering and biotechnology,1,en,
053061267,PHC,phc,10,en,
053061267,PHCI-Iringa,phci-iringa,2,en,
053061267,Primary Health Care Institute,primary health care institute,1,en,
0000c1w11,Kivach,kivach,2,gep,
0000c1w11,Kivach Nature Reserve,kivach nature reserve,1,en,
0000c1w11,Кивач заповедник,кивач заповедник,2,ru,
0003ang68,Federal Forestry Agency of Russia,federal forestry agency of russia,1,en,
0003ang68,Rosleskhoz,rosleskhoz,2,ru,
0003ang68,Федеральная лесная служба России,федеральная лесная служба россии,2,ru,
0006j5k73,Nagano Prefectural Ueda Senior High School,nagano prefectural ueda senior high school,1,en,
0006j5k73,Ueda Kōkō,ueda kōkō,2,ja,
0006j5k73,長野県上田高等学校,長野県上田高等学校,2,ja,
000dj4022,FAMESP,famesp,2,pt,?? derivation of acronym
000dj4022,Fundação para o Desenvolvimento Médico e Hospitalar,fundação para o desenvolvimento médico e hospitalar,1,pt,
000jbwm32,National Sanatorium Ooshima Seishōen,national sanatorium ooshima seishōen,1,en,
000jbwm32,Ooshima Seishoen Sanatorium,ooshima seishoen sanatorium,2,en,
000jbwm32,国立療養所大島青松園,国立療養所大島青松園,2,ja,
000kjq947,Aṃtarikṣa Vibhāga,aṃtarikṣa vibhāga,2,hi,
000kjq947,Department of Space,department of space,1,en,
000kjq947,DoS,dos,10,en,
000nb0t51,VaxTrac,vaxtrac,1,neo,
000sec356,Epizone,epizone,1,neo,
000sec356,Epizone European Research Group,epizone european research group,2,en,
000sec356,ERG,erg,10,en,
00178zy73,Gangnam Welfare Hospital,gangnam welfare hospital,2,en,
00178zy73,JA Aichi Koseiren,ja aichi koseiren,2,ja,
00178zy73,JA愛知厚生連江南厚生病院,ja愛知厚生連江南厚生病院,2,ja,
00178zy73,Konan Kosei Hospital,konan kosei hospital,1,en,
0018ymk77,Siberian State Design and Research Institute of Nonferrous Metallurgy,siberian state design and research institute of nonferrous metallurgy,2,en,
0018ymk77,Siberian State Research and Design Institute Sibtsvetmetniiproekt,siberian state research and design institute sibtsvetmetniiproekt,2,en,
0018ymk77,Sibtsvetmetniiproekt,sibtsvetmetniiproekt,1,ru,
0018ymk77,СИБЦВЕТМЕТНИИПРОЕКТ,сибцветметниипроект,2,ru,
001f54z88,Phytodata,phytodata,1,neo,
001fr6a82,Peza Union,peza union,2,en,
001fr6a82,Union of Agricultural Cooperatives of Peza,union of agricultural cooperatives of peza,1,en,
001g9ww12,NIIGrafit,niigrafit,1,ru,
001g9ww12,НИИграфит,нииграфит,2,ru,
001p3jz28,"Birla Institute of Technology and Science, Pilani",birla institute of technology and science pilani,1,en,
001p3jz28,BITS Pilani,bits pilani,2,en,
001p3jz28,बिरला प्रौद्योगिकी एवं विज्ञान संस्थान,बिरला प्रौद्योगिकी एवं विज्ञान संस्थान,2,hi,
001p3jz28,बिर्ला इन्स्टिट्यूट ऑफ टेक्नोलॉजी अँड सायन्स,बिर्ला इन्स्टिट्यूट ऑफ टेक्नोलॉजी अँड सायन्स,2,mr,
001p3jz28,ਬਿਰਲਾ ਤਕਨਾਲੋਜੀ ਅਤੇ ਵਿਗਿਆਨ ਸੰਸਥਾ,ਬਿਰਲਾ ਤਕਨਾਲੋਜੀ ਅਤੇ ਵਿਗਿਆਨ ਸੰਸਥਾ,2,pa,
001p3jz28,பிர்லா தொழில்நுட்பம் மற்றும் அறிவியல் கழகம்,பிர்லா தொழில்நுட்பம் மற்றும் அறிவியல் கழகம்,2,ta,
001p3jz28,బిట్స్ పిలానీ,బిట్స్ పిలానీ,2,te,
001p3jz28,ബിർള ഇൻസ്റ്റിറ്റ്യൂട്ട് ഓഫ് ടെക്നോളജി ആന്റ് സയൻസ്,ബിർള ഇൻസ്റ്റിറ്റ്യൂട്ട് ഓഫ് ടെക്നോളജി ആന്റ് സയൻസ്,2,ml,
001vw6n49,Planta,planta,1,cm,Russian cosmetics company
001x3nr42,BE Vedeneev All Russia Institute of Hydraulic Engineering,be vedeneev all russia institute of hydraulic engineering,2,en,
001x3nr42,The BE Vedeneev All Russia Institute of Hydraulic Engineering,the be vedeneev all russia institute of hydraulic engineering,1,en,
001x3nr42,VNIIG,vniig,10,ru,
001x3nr42,VNIIG them. B.E.Vedeneeva,vniig them bevedeneeva,2,ru,
001x3nr42,ВНИИГ,внииг,10,ru,
001x3nr42,Всероссийский научно-исследовательский институт гидротехники имени Б.Е. Веденеева,всероссийский научно-исследовательский институт гидротехники имени бе веденеева,2,ru,
001z81t90,Open-source Project for a Network Data Access Protocol,open-source project for a network data access protocol,2,en,
001z81t90,OPeNDAP,opendap,1,neo,
0023sah13,Vicomtech,vicomtech,1,cm,b2b commercial company
00280kv44,Micromun,micromun,1,cm,Micromun gmbh is a commercial service company
00280kv44,MICROMUN Privates Institut für Mikrobiologische Forschung GmbH,micromun privates institut für mikrobiologische forschung gmbh,2,de,
00286hs46,Kaminuza Nkuru y’u Rwanda,kaminuza nkuru y’u rwanda,2,rw,
00286hs46,Kaminuza y’u Rwanda,kaminuza y’u rwanda,2,rw,
00286hs46,National University of Rwanda,national university of rwanda,2,en,
00286hs46,NUR,nur,10,en,
00286hs46,Université du Rwanda,université du rwanda,2,fr,
00286hs46,Université Nationale du Rwanda,université nationale du rwanda,2,fr,
00286hs46,University of Rwanda,university of rwanda,1,en,
00286hs46,UR,ur,10,en,
0029n1t76,Nántái Kējì Dàxu,nántái kējì dàxu,2,zh,
0029n1t76,Southern Taiwan University of Science and Technology,southern taiwan university of science and technology,1,en,
0029n1t76,STUST,stust,10,en,
002egtp29,Arctic Research Centre,arctic research centre,1,en,
002egtp29,Arcum,arcum,2,en,
002fj3m33,Tokyo Dobutsuen Kyokai,tokyo dobutsuen kyokai,2,ja,
002fj3m33,Tokyo Zoological Park Society,tokyo zoological park society,1,en,
002fj3m33,公益財団法人東京動物園協会,公益財団法人東京動物園協会,2,ja,
002grtm11,Dakshina Bharat Hindi Prachar Sabha,dakshina bharat hindi prachar sabha,1,hi,
002k8gm39,Vikram University,vikram university,1,en,
002k8gm39,Vikram Viśvavidyālaya,vikram viśvavidyālaya,2,hi,
002k8gm39,विक्रम विश्वविद्यालय,विक्रम विश्वविद्यालय,2,hi,
002wpgj09,Spaceworks,spaceworks,1,neo,
